 3.72100000e-07 -6.51266205e-07  3.72100000e-07 -8.57786682e-07 
 3.74100000e-07 -6.51266205e-07  3.74100000e-07 -8.57786682e-07 
 3.76100000e-07 -6.51266205e-07  3.76100000e-07 -8.57786682e-07 
 3.78100000e-07 -6.51266205e-07  3.78100000e-07 -8.57786682e-07 
 3.80100000e-07 -6.51266205e-07  3.80100000e-07 -8.57786682e-07 
 3.82100000e-07 -6.51266205e-07  3.82100000e-07 -8.57786682e-07 
 3.84100000e-07 -6.51266205e-07  3.84100000e-07 -8.57786682e-07 
 3.86100000e-07 -6.51266205e-07  3.86100000e-07 -8.57786682e-07 
 3.88100000e-07 -6.51266205e-07  3.88100000e-07 -8.57786682e-07 
 3.90100000e-07 -6.51266205e-07  3.90100000e-07 -8.57786682e-07 
 3.92100000e-07 -6.51266205e-07  3.92100000e-07 -8.57786682e-07 
 3.94100000e-07 -6.51266205e-07  3.94100000e-07 -8.57786682e-07 
 3.96100000e-07 -6.51266205e-07  3.96100000e-07 -8.57786682e-07 
 3.98000000e-07 -6.51266205e-07  3.98000000e-07 -8.57786682e-07 
 3.98200000e-07 -6.40545202e-07  3.98200000e-07 -8.69393431e-07 
 3.98600000e-07 -6.19525107e-07  3.98600000e-07 -8.92421840e-07 
 3.99300000e-07 -5.83798677e-07  3.99300000e-07 -9.32232339e-07 
 4.00000000e-07 -5.50069121e-07  4.00000000e-07 -9.71082281e-07 
 4.00140000e-07 -5.50035148e-07  4.00140000e-07 -9.71098541e-07 
 4.00420000e-07 -5.50089192e-07  4.00420000e-07 -9.71071820e-07 
 4.00980000e-07 -5.50089209e-07  4.00980000e-07 -9.71071811e-07 
 4.02100000e-07 -5.50089267e-07  4.02100000e-07 -9.71071781e-07 
 4.04100000e-07 -5.50089267e-07  4.04100000e-07 -9.71071781e-07 
 4.06100000e-07 -5.50089267e-07  4.06100000e-07 -9.71071781e-07 
 4.08100000e-07 -5.50089267e-07  4.08100000e-07 -9.71071781e-07 
 4.10100000e-07 -5.50089267e-07  4.10100000e-07 -9.71071781e-07 
 4.12100000e-07 -5.50089267e-07  4.12100000e-07 -9.71071781e-07 
 4.14100000e-07 -5.50089267e-07  4.14100000e-07 -9.71071781e-07 
 4.16100000e-07 -5.50089267e-07  4.16100000e-07 -9.71071781e-07 
 4.18100000e-07 -5.50089267e-07  4.18100000e-07 -9.71071781e-07 
 4.20100000e-07 -5.50089267e-07  4.20100000e-07 -9.71071781e-07 
 4.22100000e-07 -5.50089267e-07  4.22100000e-07 -9.71071781e-07 
 4.24100000e-07 -5.50089267e-07  4.24100000e-07 -9.71071781e-07 
 4.26100000e-07 -5.50089267e-07  4.26100000e-07 -9.71071781e-07 
 4.28100000e-07 -5.50089267e-07  4.28100000e-07 -9.71071781e-07 
 4.30100000e-07 -5.50089267e-07  4.30100000e-07 -9.71071781e-07 
 4.32100000e-07 -5.50089267e-07  4.32100000e-07 -9.71071781e-07 
 4.34100000e-07 -5.50089267e-07  4.34100000e-07 -9.71071781e-07 
 4.36100000e-07 -5.50089267e-07  4.36100000e-07 -9.71071781e-07 
 4.38100000e-07 -5.50089267e-07  4.38100000e-07 -9.71071781e-07 
 4.40100000e-07 -5.50089267e-07  4.40100000e-07 -9.71071781e-07 
 4.42100000e-07 -5.50089267e-07  4.42100000e-07 -9.71071781e-07 
 4.44100000e-07 -5.50089267e-07  4.44100000e-07 -9.71071781e-07 
 4.46100000e-07 -5.50089267e-07  4.46100000e-07 -9.71071781e-07 
 4.48000000e-07 -5.50089267e-07  4.48000000e-07 -9.71071781e-07 
 4.48200000e-07 -6.40815616e-07  4.48200000e-07 -8.80301795e-07 
 4.48600000e-07 -7.47130762e-07  4.48600000e-07 -7.84191527e-07 
 4.49300000e-07 -7.94306358e-07  4.49300000e-07 -7.71631190e-07 
 4.50000000e-07 -9.62789786e-07  4.50000000e-07 -6.60619121e-07 
 4.50140000e-07 -9.62745232e-07  4.50140000e-07 -6.60702107e-07 
 4.50420000e-07 -9.62729376e-07  4.50420000e-07 -6.60731451e-07 
 4.50980000e-07 -9.62729335e-07  4.50980000e-07 -6.60731530e-07 
 4.52100000e-07 -9.62729326e-07  4.52100000e-07 -6.60731548e-07 
 4.54100000e-07 -9.62729326e-07  4.54100000e-07 -6.60731548e-07 
 4.56100000e-07 -9.62729326e-07  4.56100000e-07 -6.60731548e-07 
 4.58100000e-07 -9.62729326e-07  4.58100000e-07 -6.60731548e-07 
 4.60100000e-07 -9.62729326e-07  4.60100000e-07 -6.60731548e-07 
 4.62100000e-07 -9.62729326e-07  4.62100000e-07 -6.60731548e-07 
 4.64100000e-07 -9.62729326e-07  4.64100000e-07 -6.60731548e-07 
 4.66100000e-07 -9.62729326e-07  4.66100000e-07 -6.60731548e-07 
 4.68100000e-07 -9.62729326e-07  4.68100000e-07 -6.60731548e-07 
 4.70100000e-07 -9.62729326e-07  4.70100000e-07 -6.60731548e-07 
 4.72100000e-07 -9.62729326e-07  4.72100000e-07 -6.60731548e-07 
 4.74100000e-07 -9.62729326e-07  4.74100000e-07 -6.60731548e-07 
 4.76100000e-07 -9.62729326e-07  4.76100000e-07 -6.60731548e-07 
 4.78100000e-07 -9.62729326e-07  4.78100000e-07 -6.60731548e-07 
 4.80100000e-07 -9.62729326e-07  4.80100000e-07 -6.60731548e-07 
 4.82100000e-07 -9.62729326e-07  4.82100000e-07 -6.60731548e-07 
 4.84100000e-07 -9.62729326e-07  4.84100000e-07 -6.60731548e-07 
 4.86100000e-07 -9.62729326e-07  4.86100000e-07 -6.60731548e-07 
 4.88100000e-07 -9.62729326e-07  4.88100000e-07 -6.60731548e-07 
 4.90100000e-07 -9.62729326e-07  4.90100000e-07 -6.60731548e-07 
 4.92100000e-07 -9.62729326e-07  4.92100000e-07 -6.60731548e-07 
 4.94100000e-07 -9.62729326e-07  4.94100000e-07 -6.60731548e-07 
 4.96100000e-07 -9.62729326e-07  4.96100000e-07 -6.60731548e-07 
 4.98000000e-07 -9.62729326e-07  4.98000000e-07 -6.60731548e-07 
 4.98200000e-07 -9.51945386e-07  4.98200000e-07 -6.69852233e-07 
 4.98600000e-07 -9.29827361e-07  4.98600000e-07 -6.89164875e-07 
 4.99300000e-07 -8.90403655e-07  4.99300000e-07 -7.24402134e-07 
 5.00000000e-07 -8.52102500e-07  5.00000000e-07 -7.59314269e-07 
 5.00140000e-07 -8.52137703e-07  5.00140000e-07 -7.59283206e-07 
 5.00420000e-07 -8.52159473e-07  5.00420000e-07 -7.59261451e-07 
 5.00980000e-07 -8.52159499e-07  5.00980000e-07 -7.59261425e-07 
 5.02100000e-07 -8.52159533e-07  5.02100000e-07 -7.59261392e-07 
 5.04100000e-07 -8.52159533e-07  5.04100000e-07 -7.59261392e-07 
 5.06100000e-07 -8.52159533e-07  5.06100000e-07 -7.59261392e-07 
 5.08100000e-07 -8.52159533e-07  5.08100000e-07 -7.59261392e-07 
 5.10100000e-07 -8.52159533e-07  5.10100000e-07 -7.59261392e-07 
 5.12100000e-07 -8.52159533e-07  5.12100000e-07 -7.59261392e-07 
 5.14100000e-07 -8.52159533e-07  5.14100000e-07 -7.59261392e-07 
 5.16100000e-07 -8.52159533e-07  5.16100000e-07 -7.59261392e-07 
 5.18100000e-07 -8.52159533e-07  5.18100000e-07 -7.59261392e-07 
 5.20100000e-07 -8.52159533e-07  5.20100000e-07 -7.59261392e-07 
 5.22100000e-07 -8.52159533e-07  5.22100000e-07 -7.59261392e-07 
 5.24100000e-07 -8.52159533e-07  5.24100000e-07 -7.59261392e-07 
 5.26100000e-07 -8.52159533e-07  5.26100000e-07 -7.59261392e-07 
 5.28100000e-07 -8.52159533e-07  5.28100000e-07 -7.59261392e-07 
 5.30100000e-07 -8.52159533e-07  5.30100000e-07 -7.59261392e-07 
 5.32100000e-07 -8.52159533e-07  5.32100000e-07 -7.59261392e-07 
 5.34100000e-07 -8.52159533e-07  5.34100000e-07 -7.59261392e-07 
 5.36100000e-07 -8.52159533e-07  5.36100000e-07 -7.59261392e-07 
 5.38100000e-07 -8.52159533e-07  5.38100000e-07 -7.59261392e-07 
 5.40100000e-07 -8.52159533e-07  5.40100000e-07 -7.59261392e-07 
 5.42100000e-07 -8.52159533e-07  5.42100000e-07 -7.59261392e-07 
 5.44100000e-07 -8.52159533e-07  5.44100000e-07 -7.59261392e-07 
 5.46100000e-07 -8.52159533e-07  5.46100000e-07 -7.59261392e-07 
 5.48000000e-07 -8.52159533e-07  5.48000000e-07 -7.59261392e-07 
 5.48200000e-07 -8.45949323e-07  5.48200000e-07 -7.64624358e-07 
 5.48600000e-07 -8.37315564e-07  5.48600000e-07 -7.71702042e-07 
 5.49300000e-07 -8.27531920e-07  5.49300000e-07 -7.79152528e-07 
 5.50000000e-07 -8.20963110e-07  5.50000000e-07 -7.83817562e-07 
